graph,effective_rank,feature_dim
graph_flow_2493,4,4
graph_flow_2494,4,4
graph_flow_2496,4,4
graph_flow_2497,4,4
graph_flow_2498,4,4
graph_flow_2499,4,4
graph_flow_2500,4,4
graph_flow_2501,4,4
graph_flow_2503,4,4
graph_flow_2504,4,4
graph_flow_2505,4,4
graph_flow_2506,4,4
graph_flow_2507,4,4
graph_flow_2508,4,4
graph_flow_2509,4,4
graph_flow_2510,4,4
graph_flow_2511,4,4
graph_flow_2512,4,4
graph_flow_2513,4,4
graph_flow_2514,4,4
graph_flow_2515,4,4
graph_flow_2516,4,4
graph_flow_2517,4,4
graph_flow_2518,4,4
graph_flow_2519,4,4
graph_flow_2520,4,4
graph_flow_2521,4,4
graph_flow_2522,4,4
graph_flow_2523,4,4
graph_flow_2524,4,4
graph_flow_2525,4,4
graph_flow_2526,4,4
graph_flow_2527,4,4
graph_flow_2528,4,4
graph_flow_2529,4,4
graph_flow_2530,4,4
graph_flow_2531,4,4
graph_flow_2532,4,4
graph_flow_2533,4,4
graph_flow_2534,4,4
graph_flow_2535,4,4
graph_flow_2536,4,4
graph_flow_2537,4,4
graph_flow_2538,4,4
graph_flow_2539,4,4
graph_flow_2540,4,4
graph_flow_2541,4,4
graph_flow_2542,4,4
graph_flow_2543,4,4
graph_flow_2544,4,4
graph_flow_2545,4,4
graph_flow_2546,4,4
graph_flow_2547,4,4
graph_flow_2548,4,4
graph_flow_2549,4,4
graph_flow_2550,4,4
graph_flow_2551,4,4
graph_flow_2553,4,4
graph_flow_2554,4,4
graph_flow_2555,4,4
graph_flow_2556,4,4
graph_flow_2557,4,4
graph_flow_2558,4,4
graph_flow_2559,4,4
graph_flow_2560,4,4
graph_flow_2561,4,4
graph_flow_2562,4,4
graph_flow_2563,4,4
graph_flow_2564,4,4
graph_flow_2566,4,4
graph_flow_2567,4,4
graph_flow_2568,4,4
graph_flow_2569,4,4
graph_flow_2570,4,4
graph_flow_2571,4,4
graph_flow_2572,4,4
graph_flow_2573,4,4
graph_flow_2574,4,4
graph_flow_2575,4,4
graph_flow_2576,4,4
graph_flow_2577,4,4
graph_flow_2578,4,4
graph_flow_2579,4,4
graph_flow_2580,4,4
graph_flow_2581,4,4
graph_flow_2582,4,4
graph_flow_2583,4,4
graph_flow_2584,4,4
graph_flow_2585,4,4
graph_flow_2586,4,4
graph_flow_2587,4,4
graph_flow_2588,4,4
graph_flow_2589,4,4
graph_flow_2590,4,4
graph_flow_2591,4,4
graph_flow_2592,4,4
graph_flow_2593,4,4
graph_flow_2594,4,4
graph_flow_2595,4,4
graph_flow_2596,4,4
graph_flow_2597,4,4
graph_flow_2598,4,4
graph_flow_2599,4,4
graph_flow_2600,4,4
graph_flow_2601,4,4
graph_flow_2603,4,4
graph_flow_2604,4,4
graph_flow_2605,4,4
graph_flow_2606,4,4
graph_flow_2607,4,4
graph_flow_2608,4,4
graph_flow_2609,4,4
graph_flow_2610,4,4
graph_flow_2611,4,4
graph_flow_2612,4,4
graph_flow_2613,4,4
graph_flow_2614,4,4
graph_flow_2615,4,4
graph_flow_2616,4,4
graph_flow_2618,4,4
graph_flow_2619,4,4
graph_flow_2620,4,4
graph_flow_2621,4,4
graph_flow_2622,4,4
graph_flow_2625,4,4
graph_flow_2626,4,4
graph_flow_2627,4,4
graph_flow_2628,4,4
graph_flow_2629,4,4
graph_flow_2630,4,4
graph_flow_2631,4,4
graph_flow_2632,4,4
graph_flow_2633,4,4
graph_flow_2634,4,4
graph_flow_2635,4,4
graph_flow_2636,4,4
graph_flow_2637,4,4
graph_flow_2638,4,4
graph_flow_2639,4,4
graph_flow_2640,4,4
graph_flow_2641,4,4
graph_flow_2642,4,4
graph_flow_2643,4,4
graph_flow_2644,4,4
graph_flow_2645,4,4
graph_flow_2646,4,4
graph_flow_2647,4,4
graph_flow_2648,4,4
graph_flow_2649,4,4
graph_flow_2650,4,4
graph_flow_2651,4,4
graph_flow_2652,4,4
graph_flow_2653,4,4
graph_flow_2654,4,4
graph_flow_2655,4,4
graph_flow_2656,4,4
graph_flow_2657,4,4
graph_flow_2658,4,4
graph_flow_2659,4,4
graph_flow_2660,4,4
graph_flow_2661,4,4
graph_flow_2662,4,4
graph_flow_2663,4,4
graph_flow_2664,4,4
graph_flow_2665,4,4
graph_flow_2666,4,4
graph_flow_2667,4,4
graph_flow_2668,4,4
graph_flow_2669,4,4
graph_flow_2670,4,4
graph_flow_2671,4,4
graph_flow_2672,4,4
graph_flow_2673,4,4
graph_flow_2674,4,4
graph_flow_2675,4,4
graph_flow_2676,4,4
graph_flow_2677,4,4
graph_flow_2678,4,4
graph_flow_2679,4,4
graph_flow_2680,4,4
graph_flow_2681,4,4
graph_flow_2682,4,4
graph_flow_2683,4,4
graph_flow_2684,4,4
graph_flow_2685,4,4
graph_flow_2686,4,4
graph_flow_2687,4,4
graph_flow_2688,4,4
graph_flow_2689,4,4
graph_flow_2690,4,4
graph_flow_2691,4,4
graph_flow_2692,4,4
graph_flow_2693,4,4
graph_flow_2694,4,4
graph_flow_2695,4,4
graph_flow_2696,4,4
graph_flow_2697,4,4
graph_flow_2698,4,4
graph_flow_2699,4,4
graph_flow_2700,4,4
graph_flow_2701,4,4
graph_flow_2702,4,4
graph_flow_2704,4,4
graph_flow_2705,4,4
graph_flow_2706,4,4
graph_flow_2707,4,4
graph_flow_2708,4,4
graph_flow_2709,4,4
graph_flow_2710,4,4
graph_flow_2711,4,4
graph_flow_2712,4,4
graph_flow_2713,4,4
graph_flow_2714,4,4
graph_flow_2715,4,4
graph_flow_2716,4,4
graph_flow_2717,4,4
graph_flow_2718,4,4
graph_flow_2719,4,4
graph_flow_2720,4,4
graph_flow_2721,4,4
graph_flow_2722,4,4
graph_flow_2723,4,4
graph_flow_2724,4,4
graph_flow_2725,4,4
graph_flow_2726,4,4
graph_flow_2727,4,4
graph_flow_2728,4,4
graph_flow_2729,4,4
graph_flow_2730,4,4
graph_flow_2731,4,4
graph_flow_2732,4,4
graph_flow_2733,4,4
graph_flow_2734,4,4
graph_flow_2735,4,4
graph_flow_2736,4,4
graph_flow_2737,4,4
graph_flow_2738,4,4
graph_flow_2739,4,4
graph_flow_2740,4,4
graph_flow_2741,4,4
graph_flow_2742,4,4
graph_flow_2743,4,4
graph_flow_2744,4,4
graph_flow_2745,4,4
graph_flow_2746,4,4
graph_flow_2747,4,4
graph_flow_2748,4,4
graph_flow_2749,4,4
graph_flow_2750,4,4
graph_flow_2751,4,4
graph_flow_2752,4,4
graph_flow_2753,4,4
